Ob,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Income,poverty_rate,percent_completed_hs
257,AK,Pope-Vannoy Landing CDP,50,0,33.3,0,0,-,-,-
258,AK,Port Alexander city,90.4,0,3.8,3.8,1.9,82813,0,100
259,AK,Port Alsworth CDP,67.9,4.4,21.4,0.6,10.1,63750,2.1,94.7
260,AK,Port Clarence CDP,95.8,4.2,0,0,12.5,-,-,100
261,AK,Port Graham CDP,8.5,1.1,71.2,0,0,30000,28.2,93.2
262,AK,Port Heiden city,14.7,0,83.3,0,0,59375,0,90
263,AK,Port Lions city,36.1,0,58.8,2.6,1.5,41042,20.8,85
264,AK,Port Protection CDP,72.9,0,18.8,0,4.2,(X),39,100
265,AK,Portage Creek CDP,50,0,50,0,0,-,-,-
266,AK,Primrose CDP,88.5,0,5.1,0,0,81458,8.2,100
267,AK,Prudhoe Bay CDP,85.2,1.9,7.8,1.6,4,-,3.9,96.4
268,AK,Quinhagak city,2.2,0,93.4,0,0.4,31719,38,66.7
269,AK,Rampart CDP,4.2,0,95.8,0,0,-,0,0
270,AK,Red Devil CDP,17.4,0,43.5,0,0,51875,31.8,66.7
271,AK,Red Dog Mine CDP,41.4,0,50.8,0.3,2.6,-,0,90.9
272,AK,Ridgeway CDP,88,0.1,4.3,0.9,3.5,103203,9.6,96.4
273,AK,Ruby city,4.8,0,88.6,0.6,0.6,24688,33.2,83.2
274,AK,Russian Mission city,3.2,0,95.8,0,0,36563,33.3,76.2
275,AK,Salamatof CDP,70.7,0.9,17.9,2.1,3.2,61458,14.9,87.5
276,AK,Salcha CDP,89.5,0.8,4.3,1.4,3.3,79167,9.8,97.5
277,AK,Sand Point city,17,2.5,39,34.7,6.1,56875,18.2,84.6
278,AK,Savoonga city,4.9,0,94.5,0.1,0,33661,48.4,61.4
279,AK,Saxman city,30.4,0.7,50.6,0.5,4.1,46250,15.2,87.1
280,AK,Scammon Bay city,0.4,0,99.4,0,0,27917,44.1,74.9
281,AK,Selawik city,4,0.1,85.4,0,0,41827,29.9,66.2
282,AK,Seldovia city,72.5,1.2,13.7,1.2,3.9,46875,9.5,95.5
283,AK,Seldovia Village CDP,58.2,1.2,26.1,0.6,2.4,59250,10.9,92.6
284,AK,Seward city,68.5,3.1,16.7,2.4,3.6,53750,8.4,93.9
285,AK,Shageluk city,3.6,0,90.4,0,0,(X),25.6,87.1
286,AK,Shaktoolik city,3.6,0,96,0,0,38750,23.3,80.6
287,AK,Shishmaref city,3.6,0,94.8,0.4,0.2,29375,42.8,79.9
288,AK,Shungnak city,5.7,0,94.3,0,0.4,43125,28.8,69.3
289,AK,Silver Springs CDP,86.8,0,7.9,1.8,0.9,85341,7.7,90.7
290,AK,Sitka city and borough,65.3,0.5,16.8,6,4.9,70376,9,92.8
291,AK,Skagway CDP,91,0,3.7,0.5,2.3,69643,4.6,97.2
292,AK,Skwentna CDP,100,0,0,0,0,31667,26.2,100
293,AK,Slana CDP,83,0.7,12.9,0,0,18063,92.9,73.1
294,AK,Sleetmute CDP,23.3,0,76.7,0,1.2,30313,33.7,75.6
295,AK,Soldotna city,85.9,0.3,4.3,1.6,3.9,65048,5.2,93.6
296,AK,South Naknek CDP,12.7,0,82.3,1.3,0,58750,12.7,76.4
297,AK,South Van Horn CDP,76.2,2.7,6.6,1.8,5,65750,29.6,82.1
298,AK,St. George city,9.8,0,88.2,0,1,53750,11.3,91.1
299,AK,St. Mary's city,3.7,0,91.5,0,0,42500,20.8,84
300,AK,St. Michael city,5.5,0,92,0,0.7,33125,38,79.2
301,AK,St. Paul city,11.1,0.4,82.3,0.6,3.5,57708,14.8,82.1
302,AK,Stebbins city,4.3,0.2,95.3,0.2,0,39271,29.3,74.3
303,AK,Steele Creek CDP,87.4,0.8,3.8,0.9,3.2,82049,3.1,95.3
304,AK,Sterling CDP,89.8,0.1,4.4,0.8,2.7,71597,10.1,94.5
305,AK,Stevens Village CDP,6.4,1.3,84.6,0,15.4,15938,72,80
306,AK,Stony River CDP,5.6,0,83.3,1.9,0,22500,62.5,50
307,AK,Sunrise CDP,94.4,0,0,5.6,0,-,0,100
308,AK,Susitna CDP,100,0,0,0,0,-,-,-
309,AK,Susitna North CDP,87.5,0.3,5.3,0.7,2.7,50536,14.3,88.7
310,AK,Sutton-Alpine CDP,69.8,2.4,16.8,1.8,4.8,35500,28.6,84.5
311,AK,Takotna CDP,50,0,23.1,0,5.8,23750,32.7,82.8
312,AK,Talkeetna CDP,91.4,0.3,3.7,0.5,1.8,49861,6.7,88.3
313,AK,Tanacross CDP,10.3,0,80.1,0,0,18194,30.7,79.3
314,AK,Tanaina CDP,85.9,0.8,4.5,1.2,4.5,78263,12.2,92.3
315,AK,Tanana city,9.8,0,86.6,0.4,0.4,45625,4.2,86.1
316,AK,Tatitlek CDP,30.7,0,60.2,1.1,3.4,40000,12.8,86.3
317,AK,Tazlina CDP,55.2,0,33.7,0.3,0.7,64688,14.5,90.1
318,AK,Teller city,3.9,0,96.1,0,0,24792,39.4,65.2
319,AK,Tenakee Springs city,94.7,0.8,0.8,0.8,1.5,54375,2,95.9
320,AK,Tetlin CDP,6.3,0,89.8,0,2.4,21563,38.1,82.8
321,AK,Thorne Bay city,91.9,0.2,2.1,0.6,1.7,53393,13.4,95.9
322,AK,Togiak city,5.5,0.2,78,0,1.8,46250,23.5,75.3
323,AK,Tok CDP,77.9,0.6,12.2,0.4,2.5,56818,16.8,91
324,AK,Toksook Bay city,4.4,0.3,92,0.2,1,64000,14.6,75.6
325,AK,Tolsona CDP,96.7,3.3,0,0,0,-,-,-
326,AK,Tonsina CDP,87.2,0,9,0,0,-,0,100
327,AK,Trapper Creek CDP,86.5,0.4,6.4,1,1,23125,21.8,94.3
328,AK,Tuluksak CDP,4,0.3,94.9,0,0,23214,74.7,74.4
329,AK,Tuntutuliak CDP,2.9,0,95.8,0,0,36750,42,64.1
330,AK,Tununak CDP,4,0,94.5,0,0,32500,32.9,81.7
331,AK,Twin Hills CDP,2.7,0,94.6,0,0,38125,29.5,74.5
332,AK,Two Rivers CDP,85.7,0.1,3.6,1,5,66466,0,100
333,AK,Tyonek CDP,5.3,0,88.3,0,5.3,33750,21,93.3
334,AK,Ugashik CDP,25,0,58.3,0,0,53958,0,100
335,AK,Unalakleet city,15,0.6,77.3,0.6,1,68015,14.9,93.2
336,AK,Unalaska city,39.2,6.9,6.1,32.6,15.2,90500,7.6,82.8
337,AK,Upper Kalskag city,6.7,0.5,81.4,0,0,36806,18.3,76.6
338,AK,Valdez city,81.5,0.6,8.2,1.9,4.7,98204,9.4,96.1
339,AK,Venetie CDP,1.8,0,91.6,0.6,1.8,27500,53.1,62.4
340,AK,Wainwright city,8.1,0,90.1,0,0.4,64583,18.2,80.8
341,AK,Wales city,6.2,0,84.8,0,0,29063,34.8,78
342,AK,Wasilla city,83.4,1.4,5.2,2.1,4.3,61541,11.7,91.8
343,AK,Whale Pass CDP,87.1,0,0,0,3.2,-,0,100
344,AK,White Mountain city,12.1,0,81.6,0,1.1,27083,34.3,85.4
345,AK,Whitestone CDP,93.8,0,0,2.1,5.2,-,6,69.9
346,AK,Whitestone Logging Camp CDP,29.4,0,52.9,0,5.9,-,-,-
